SURVEY_YEAR,SEX,SIZE1,ABUN_IMM,ABUN_MAT
2010,FEMALE ,0,0,0
2010,FEMALE ,1,0,0
2010,FEMALE ,2,0,0
2010,FEMALE ,3,0,0
2010,FEMALE ,4,0,0
2010,FEMALE ,5,0,0
2010,FEMALE ,6,0,0
2010,FEMALE ,7,0,0
2010,FEMALE ,8,0,0
2010,FEMALE ,9,0,0
2010,FEMALE ,10,0,0
2010,FEMALE ,11,67861,0
2010,FEMALE ,12,0,0
2010,FEMALE ,13,0,0
2010,FEMALE ,14,0,0
2010,FEMALE ,15,33807,0
2010,FEMALE ,16,64927,0
2010,FEMALE ,17,186339,0
2010,FEMALE ,18,5319084,0
2010,FEMALE ,19,2458240,0
2010,FEMALE ,20,12024468,0
2010,FEMALE ,21,19276916,0
2010,FEMALE ,22,78661486,0
2010,FEMALE ,23,63099885,0
2010,FEMALE ,24,104036061,0
2010,FEMALE ,25,97994507,0
2010,FEMALE ,26,94206988,0
2010,FEMALE ,27,178832815,0
2010,FEMALE ,28,85253394,0
2010,FEMALE ,29,98975389,0
2010,FEMALE ,30,131706831,0
2010,FEMALE ,31,156372577,339318
2010,FEMALE ,32,247947585,0
2010,FEMALE ,33,200807860,0
2010,FEMALE ,34,209323314,0
2010,FEMALE ,35,235503986,0
2010,FEMALE ,36,224687157,0
2010,FEMALE ,37,279922224,1536166
2010,FEMALE ,38,303845713,8060168
2010,FEMALE ,39,241240692,116070
2010,FEMALE ,40,247020925,13075889
2010,FEMALE ,41,366129235,6351799
2010,FEMALE ,42,412862627,16616393
2010,FEMALE ,43,370185300,7767783
2010,FEMALE ,44,356139576,7002084
2010,FEMALE ,45,310816644,39236330
2010,FEMALE ,46,245761514,16507855
2010,FEMALE ,47,257561405,16928975
2010,FEMALE ,48,102617442,38605516
2010,FEMALE ,49,81460356,41827132
2010,FEMALE ,50,60105848,42591565
2010,FEMALE ,51,35767207,46389356
2010,FEMALE ,52,28200092,39421430
2010,FEMALE ,53,16450727,26289287
2010,FEMALE ,54,13666594,20201184
2010,FEMALE ,55,8281665,20154430
2010,FEMALE ,56,3685440,16331760
2010,FEMALE ,57,8903513,10329412
2010,FEMALE ,58,2004968,8998862
2010,FEMALE ,59,880804,433676
2010,FEMALE ,60,309652,2737722
2010,FEMALE ,61,0,5215705
2010,FEMALE ,62,0,496912
2010,FEMALE ,63,0,106568
2010,FEMALE ,64,0,7918568
2010,FEMALE ,65,0,0
2010,FEMALE ,66,0,0
2010,FEMALE ,67,29809,413354
2010,FEMALE ,68,0,0
2010,FEMALE ,69,0,0
2010,FEMALE ,70,0,0
2010,FEMALE ,71,0,0
2010,FEMALE ,72,0,0
2010,FEMALE ,73,0,0
2010,FEMALE ,74,0,0
2010,FEMALE ,75,0,0
2010,FEMALE ,76,0,0
2010,FEMALE ,77,0,0
2010,FEMALE ,78,0,0
2010,FEMALE ,79,0,0
2010,FEMALE ,80,0,0
2010,FEMALE ,81,0,0
2010,FEMALE ,82,0,0
2010,FEMALE ,83,0,0
2010,FEMALE ,84,0,0
2010,FEMALE ,85,0,0
2010,FEMALE ,86,0,0
2010,FEMALE ,87,0,0
2010,FEMALE ,88,0,0
2010,FEMALE ,89,0,0
2010,FEMALE ,90,0,0
2010,FEMALE ,91,0,0
2010,FEMALE ,92,0,0
2010,FEMALE ,93,0,0
2010,FEMALE ,94,0,0
2010,FEMALE ,95,0,0
2010,FEMALE ,96,0,0
2010,FEMALE ,97,0,0
2010,FEMALE ,98,0,0
2010,FEMALE ,99,0,0
2010,FEMALE ,100,0,0
2010,FEMALE ,101,0,0
2010,FEMALE ,102,0,0
2010,FEMALE ,103,0,0
2010,FEMALE ,104,0,0
2010,FEMALE ,105,0,0
2010,FEMALE ,106,0,0
2010,FEMALE ,107,0,0
2010,FEMALE ,108,0,0
2010,FEMALE ,109,0,0
2010,FEMALE ,110,0,0
2010,FEMALE ,111,0,0
2010,FEMALE ,112,0,0
2010,FEMALE ,113,0,0
2010,FEMALE ,114,0,0
2010,FEMALE ,115,0,0
2010,FEMALE ,116,0,0
2010,FEMALE ,117,0,0
2010,FEMALE ,118,0,0
2010,FEMALE ,119,0,0
2010,FEMALE ,120,0,0
2010,FEMALE ,121,0,0
2010,FEMALE ,122,0,0
2010,FEMALE ,123,0,0
2010,FEMALE ,124,0,0
2010,FEMALE ,125,0,0
2010,FEMALE ,126,0,0
2010,FEMALE ,127,0,0
2010,FEMALE ,128,0,0
2010,FEMALE ,129,0,0
2010,FEMALE ,130,0,0
2010,FEMALE ,131,0,0
2010,FEMALE ,132,0,0
2010,FEMALE ,133,0,0
2010,FEMALE ,134,0,0
2010,FEMALE ,135,0,0
2010,FEMALE ,136,0,0
2010,FEMALE ,137,0,0
2010,FEMALE ,138,0,0
2010,FEMALE ,139,0,0
2010,FEMALE ,140,0,0
2010,FEMALE ,141,0,0
2010,FEMALE ,142,0,0
2010,FEMALE ,143,0,0
2010,FEMALE ,144,0,0
2010,FEMALE ,145,0,0
2010,FEMALE ,146,0,0
2010,FEMALE ,147,0,0
2010,FEMALE ,148,0,0
2010,FEMALE ,149,0,0
2010,FEMALE ,150,0,0
2010,FEMALE ,151,0,0
2010,FEMALE ,152,0,0
2010,FEMALE ,153,0,0
2010,FEMALE ,154,0,0
2010,FEMALE ,155,0,0
2010,FEMALE ,156,0,0
2010,FEMALE ,157,0,0
2010,FEMALE ,158,0,0
2010,FEMALE ,159,0,0
2010,FEMALE ,160,0,0
2010,FEMALE ,161,0,0
2010,FEMALE ,162,0,0
2010,FEMALE ,163,0,0
2010,FEMALE ,164,0,0
2010,FEMALE ,165,0,0
2010,FEMALE ,166,0,0
2010,FEMALE ,167,0,0
2010,FEMALE ,168,0,0
2010,FEMALE ,169,0,0
2010,FEMALE ,170,0,0
2010,FEMALE ,171,0,0
2010,FEMALE ,172,0,0
2010,FEMALE ,173,0,0
2010,FEMALE ,174,0,0
2010,FEMALE ,175,0,0
2010,FEMALE ,176,0,0
2010,FEMALE ,177,0,0
2010,FEMALE ,178,0,0
2010,FEMALE ,179,0,0
2010,FEMALE ,180,0,0
2010,FEMALE ,181,0,0
2010,FEMALE ,182,0,0
2010,FEMALE ,183,0,0
2010,FEMALE ,184,0,0
2010,FEMALE ,185,0,0
2010,FEMALE ,186,0,0
2010,FEMALE ,187,0,0
2010,FEMALE ,188,0,0
2010,FEMALE ,189,0,0
2010,FEMALE ,190,0,0
2010,FEMALE ,191,0,0
2010,FEMALE ,192,0,0
2010,FEMALE ,193,0,0
2010,FEMALE ,194,0,0
2010,FEMALE ,195,0,0
2010,FEMALE ,196,0,0
2010,FEMALE ,197,0,0
2010,FEMALE ,198,0,0
2010,FEMALE ,199,0,0
2010,FEMALE ,200,0,0
2010,FEMALE ,201,0,0
2010,FEMALE ,202,0,0
2010,FEMALE ,203,0,0
2010,FEMALE ,204,0,0
2010,FEMALE ,205,0,0
2010,FEMALE ,206,0,0
2010,FEMALE ,207,0,0
2010,FEMALE ,208,0,0
2010,FEMALE ,209,0,0
2010,FEMALE ,210,0,0
2010,FEMALE ,211,0,0
2010,FEMALE ,212,0,0
2010,FEMALE ,213,0,0
2010,FEMALE ,214,0,0
2010,FEMALE ,215,0,0
2010,FEMALE ,216,0,0
2010,FEMALE ,217,0,0
2010,FEMALE ,218,0,0
2010,FEMALE ,219,0,0
2010,FEMALE ,220,0,0
2010,FEMALE ,221,0,0
2010,FEMALE ,222,0,0
2010,FEMALE ,223,0,0
2010,FEMALE ,224,0,0
2010,FEMALE ,225,0,0
2010,FEMALE ,226,0,0
2010,FEMALE ,227,0,0
2010,FEMALE ,228,0,0
2010,FEMALE ,229,0,0
2010,FEMALE ,230,0,0
2010,FEMALE ,231,0,0
2010,FEMALE ,232,0,0
2010,FEMALE ,233,0,0
2010,FEMALE ,234,0,0
2010,FEMALE ,235,0,0
2010,FEMALE ,236,0,0
2010,FEMALE ,237,0,0
2010,FEMALE ,238,0,0
2010,FEMALE ,239,0,0
2010,FEMALE ,240,0,0
2010,FEMALE ,241,0,0
2010,FEMALE ,242,0,0
2010,FEMALE ,243,0,0
2010,FEMALE ,244,0,0
2010,FEMALE ,245,0,0
2010,FEMALE ,246,0,0
2010,FEMALE ,247,0,0
2010,FEMALE ,248,0,0
2010,FEMALE ,249,0,0
2010,FEMALE ,250,0,0
2017,FEMALE ,0,0,0
2017,FEMALE ,1,0,0
2017,FEMALE ,2,0,0
2017,FEMALE ,3,0,0
2017,FEMALE ,4,0,0
2017,FEMALE ,5,0,0
2017,FEMALE ,6,1376576,0
2017,FEMALE ,7,1365998,0
2017,FEMALE ,8,30850,0
2017,FEMALE ,9,61701,0
2017,FEMALE ,10,0,0
2017,FEMALE ,11,61701,0
2017,FEMALE ,12,0,0
2017,FEMALE ,13,33114,0
2017,FEMALE ,14,94815,0
2017,FEMALE ,15,225006,0
2017,FEMALE ,16,924919,0
2017,FEMALE ,17,830074,0
2017,FEMALE ,18,562932,0
2017,FEMALE ,19,626055,0
2017,FEMALE ,20,1452779,0
2017,FEMALE ,21,1738619,0
2017,FEMALE ,22,3551408,0
2017,FEMALE ,23,12223774,0
2017,FEMALE ,24,23783499,0
2017,FEMALE ,25,31190867,0
2017,FEMALE ,26,52034826,0
2017,FEMALE ,27,75303338,0
2017,FEMALE ,28,172183630,0
2017,FEMALE ,29,263517521,0
2017,FEMALE ,30,346677570,102491
2017,FEMALE ,31,338951586,0
2017,FEMALE ,32,426949163,28287
2017,FEMALE ,33,439077307,134775
2017,FEMALE ,34,336688632,30606
2017,FEMALE ,35,275076607,61212
2017,FEMALE ,36,270823279,439595
2017,FEMALE ,37,225473935,1665204
2017,FEMALE ,38,188308990,3794030
